record_id,filename,status,error,de_variable,fe_variables,rpm_variables,number_of_samples,duration_seconds,contains_nan,contains_infinity,is_constant,minimum,maximum,mean,standard_deviation,rms,skewness,kurtosis,known_issue
97,97.mat,valid,,X097_DE_time,X097_FE_time,X097RPM,243938,5.082041666666667,False,False,False,-0.2866375384615384,0.3112541538461538,0.0125582111999455,0.0726870986839877,0.0737639680578411,-0.0354107430213754,2.7642427904394915,none
98,98.mat,valid,,X098_DE_time,X098_FE_time,,483903,10.0813125,False,False,False,-0.3458843076923076,0.3175126153846153,0.0125641024534637,0.0651516453058643,0.0663520425949517,-0.1730480788455121,2.930617176270012,none
99,99.mat,valid,,X098_DE_time,X098_FE_time;X099_FE_time,,483903,10.0813125,False,False,False,-0.3458843076923076,0.3175126153846153,0.0125641024534637,0.0651516453058643,0.0663520425949517,-0.1730480788455121,2.930617176270012,none
100,100.mat,valid,,X100_DE_time,X100_FE_time,X100RPM,485643,10.1175625,False,False,False,-0.306456,0.2837169230769231,0.0124585142229358,0.0646952038502353,0.0658838673566344,-0.1275295794513685,2.9571686803135413,none
109,109.mat,valid,,X109_DE_time,X109_FE_time,X109RPM,243938,5.082041666666667,False,False,False,-2.8483,3.569452,0.076695320504937,0.5829764394698097,0.5879997458879141,0.0100433737645984,6.027225372853586,none
110,110.mat,valid,,X110_DE_time,X110_FE_time,X110RPM,486224,10.129666666666669,False,False,False,-1.5742116923076923,1.6516080000000002,0.020730911431768,0.2779190221682646,0.2786911436909257,-0.0910210378975214,7.368658621397259,none
111,111.mat,valid,,X111_DE_time,X111_FE_time,X111RPM,485643,10.1175625,False,False,False,-1.6954172307692306,1.6964603076923075,0.01708860450863,0.2801626873289009,0.2806833656906014,-0.09237896505409,7.510468654128994,none
112,112.mat,valid,,X112_DE_time,X112_FE_time,X112RPM,485643,10.1175625,False,False,False,-1.6392996923076923,1.6605784615384616,0.0149683264240161,0.2793009455318555,0.2797017500319304,-0.1566909072652351,6.827820989994285,none
122,122.mat,valid,,X122_DE_time,X122_FE_time,X122RPM,244739,5.098729166666667,False,False,False,-0.6245944615384615,0.7364123076923076,0.0324188805493576,0.1458797386106665,0.1494385557785872,-0.0218271598029318,3.149024909861732,none
123,123.mat,valid,,X123_DE_time,X123_FE_time,X123RPM,487384,10.153833333333331,False,False,False,-0.6160412307692308,0.6754966153846154,0.0190306707710489,0.1401151203637481,0.1414016031894394,0.0107167104626094,3.072153484372698,none
124,124.mat,valid,,X124_DE_time,X124_FE_time,X124RPM,486804,10.14175,False,False,False,-0.7401673846153847,0.6915600000000001,0.016155574887508,0.1426973632641719,0.1436089832931524,0.0079452893673208,3.0869505607452834,none
125,125.mat,valid,,X125_DE_time,X125_FE_time,X125RPM,488545,10.178020833333331,False,False,False,-0.6577643076923076,0.6646486153846154,0.014663730796234,0.1424720673463191,0.1432247009939225,0.0066247427310825,3.041362969710492,none
135,135.mat,valid,,X135_DE_time,X135_FE_time,X135RPM,243538,5.073708333333333,False,False,False,-6.148989333333333,6.541282666666666,0.0127501932511558,1.2579172063712805,1.2579818224095562,0.0764460131653613,6.741516107814046,none
136,136.mat,valid,,X136_DE_time,X136_FE_time,X136RPM,486804,10.14175,False,False,False,-5.363568,5.304306666666666,0.0121118362653826,1.0606396836874594,1.0607088361988664,0.0724994782909607,6.864797083095626,none
137,137.mat,valid,,X137_DE_time,X137_FE_time,X137RPM,486804,10.14175,False,False,False,-5.274676,5.469153333333334,0.012240136062974,1.0208353164714496,1.0209086953720226,0.0787149302682877,6.937054970861753,none
138,138.mat,valid,,X138_DE_time,X138_FE_time,X138RPM,487964,10.165916666666666,False,False,False,-5.287613333333333,5.3852693333333335,0.0116696368502594,1.0055402757008756,1.005607988473048,0.0792811368578207,7.391724250097861,none
148,148.mat,valid,,X148_DE_time,X148_FE_time,X148RPM,124602,2.595875,False,False,False,-1.850209846153846,1.992902769230769,0.1016647787206773,0.39897198525458,0.4117212312357782,0.0786615932121087,4.158614393835377,none
149,149.mat,valid,,X149_DE_time,X149_FE_time,X149RPM,485063,10.105479166666669,False,False,False,-2.219041846153846,2.2033956923076925,0.0124125132408653,0.4553378628054884,0.4555070139846635,0.0570915622067171,4.110108140373021,none
150,150.mat,valid,,X150_DE_time,X150_FE_time,X150RPM,485643,10.1175625,False,False,False,-2.0335827692307693,2.108267076923077,0.0109949478482056,0.4450853840343056,0.4452211674652835,0.0548027677506728,4.38028019843241,none
151,151.mat,valid,,X151_DE_time,X151_FE_time,X151RPM,486224,10.129666666666669,False,False,False,-1.9616104615384613,2.166888,0.011640571474496,0.4431249359723936,0.4432778042997312,0.0444184235977617,4.098738112245553,none
161,161.mat,valid,,X161_DE_time,X161_FE_time,X161RPM,129969,2.7076875,False,False,False,-1.2790209230769232,1.4711556923076925,0.1130852060035618,0.2108756605801219,0.2392839485673261,0.0257268228457772,5.49387962567644,none
162,162.mat,valid,,X162_DE_time,X162_FE_time,X162RPM,482742,10.057125,False,False,False,-2.358396923076923,2.3988683076923074,0.0123938571907975,0.2759677076729722,0.2762458748548853,0.035666759845773,12.394053032201118,none
163,163.mat,valid,,X163_DE_time,X163_FE_time,X163RPM,483323,10.069229166666666,False,False,False,-2.1698086153846154,2.157083076923077,0.0116008356431174,0.2633171113764862,0.2635725337194213,0.0415976610777392,11.631660131288829,none
164,164.mat,valid,,X164_DE_time,X164_FE_time,X164RPM,484483,10.093395833333334,False,False,False,-2.0992966153846155,2.09136923076923,0.0118438046113866,0.2441180336764672,0.2444051760371238,0.0226484245435968,10.149318675365311,none
174,174.mat,valid,,X173_DE_time,X173_FE_time,X173RPM,63788,1.3289166666666667,False,False,False,-1.3191906666666666,1.449816,0.0375810406973098,0.1781690031909218,0.1820893415824758,-0.0913021698500294,11.669292029761325,none
175,175.mat,valid,,X217_DE_time,X175_FE_time,X175RPM,489125,10.190104166666666,False,False,False,-1.2083003076923078,1.363718769230769,0.0312388539585209,0.1953937778890187,0.1978751991392174,-0.0046685381654899,4.365250773110683,none
176,176.mat,valid,,X176_DE_time,X176_FE_time,X176RPM,487964,10.165916666666666,False,False,False,-2.5110946666666667,2.669264,0.0165410150994745,0.2372703762664814,0.2378462457852944,0.1253273971476069,20.151244843312146,none
177,177.mat,valid,,X177_DE_time,X177_FE_time,X177RPM,485063,10.105479166666669,False,False,False,-2.511512,2.6634213333333334,0.0179079756663911,0.2678848996252465,0.2684828021302229,0.2246043824267849,14.940117586440731,electrical_noise
189,189.mat,valid,,X189_DE_time,X189_FE_time,X189RPM,249146,5.190541666666666,False,False,False,-1.234377230769231,1.3171975384615384,0.0301620831505036,0.1332137493001957,0.1365857029948351,-0.0120505047362527,10.23491451340128,de_fe_duplicate
190,190.mat,valid,,X190_DE_time,X190_FE_time,X190RPM,486224,10.129666666666669,False,False,False,-2.487738461538461,2.595384,0.0113703570927739,0.1475456967058711,0.1479831667347273,0.116089585511843,18.063302650889067,none
191,191.mat,valid,,X191_DE_time,X191_FE_time,X191RPM,487384,10.153833333333331,False,False,False,-3.417954461538461,3.417745846153846,0.0113162563260812,0.1705515571824229,0.1709265670239324,0.126529688047022,37.66781358462534,clipped
192,192.mat,valid,,X192_DE_time,X192_FE_time,X192RPM,486804,10.14175,False,False,False,-2.312918769230769,3.026383384615385,0.0112049385043925,0.1649782956161865,0.1653583643826615,0.2604945282948795,17.081121606260123,none
201,201.mat,valid,,X201_DE_time,X201_FE_time,X201RPM,245140,5.107083333333334,False,False,False,-0.7103353846153846,1.511835692307692,0.3960536227712893,0.1510617493541947,0.4238845647440022,0.0141064392701195,3.7676480489468767,de_fe_duplicate
202,202.mat,valid,,X202_DE_time,X202_FE_time,X202RPM,484483,10.093395833333334,False,False,False,-1.347864,1.3693513846153846,0.0121391024068638,0.1365727332047623,0.1371111565929757,-0.0043136274166361,3.678181324318646,none
