record_id,window_number,start_sample,end_sample,split,fault_type,fault_size_in,outer_race_position,load_hp,speed_rpm,sampling_rate_hz,mean,standard_deviation,rms,peak_to_peak,skewness,kurtosis,crest_factor,impulse_factor,dominant_frequency_hz,spectral_centroid_hz,spectral_spread_hz,shaft_frequency_hz,expected_bpfi_hz,expected_bpfo_hz,expected_bsf_hz,expected_ftf_hz,envelope_at_bpfi,envelope_at_bpfo,envelope_at_bsf,envelope_at_ftf
97,0,0,8192,source_train,normal,0.0,NA,0,1797,48000,0.01175967366792463,0.07418887007347229,0.07511510079574302,0.5202867835760117,-0.07724317517674138,2.877008335602263,3.632677429741954,4.5354421656448665,4148.4375,3446.152368085041,1976.9561238957565,29.95,162.17925,107.37075,70.59215,11.929084999999999,6.07295170813113,18.48410228510935,6.462822823154464,15.036862081627138
97,1,4096,12288,source_train,normal,0.0,NA,0,1797,48000,0.01127320153410949,0.0723329463248936,0.07320614862747928,0.49671323597431183,-0.08540100314171414,2.8539913849296803,3.405388595982088,4.248444482925872,4148.4375,3581.0412238082636,1918.1239582078279,29.95,162.17925,107.37075,70.59215,11.929084999999999,5.169732614219954,9.644626381756796,12.581379816175502,1.7349521997483845
97,2,8192,16384,source_train,normal,0.0,NA,0,1797,48000,0.011460476634994166,0.07130676719886805,0.07222186353906143,0.4614572376012802,-0.09336747825494585,2.803385413810606,3.278487376132825,4.079393207653874,4148.4375,3619.3407786538824,1892.0047987944467,29.95,162.17925,107.37075,70.59215,11.929084999999999,11.52732564217009,21.52637285385966,5.785325800690182,1.8230940686327262
97,3,12288,20480,source_train,normal,0.0,NA,0,1797,48000,0.011554903602977618,0.07149257120570605,0.07242032542647854,0.48503077030181885,-0.07357883766243818,2.7196690680433706,3.42793685262082,4.247335327744921,4148.4375,3504.977822789885,1954.0272851164852,29.95,162.17925,107.37075,70.59215,11.929084999999999,9.450411515764513,14.503082888079128,14.348913335394453,13.088244682192512
97,4,16384,24576,source_train,normal,0.0,NA,0,1797,48000,0.012100558096747704,0.0725486403464161,0.07355085806682612,0.4864910691976547,-0.06758411817964306,2.7188071868273975,3.3752468554841837,4.173879597960558,4148.4375,3444.5575671928827,2007.1940562125085,29.95,162.17925,107.37075,70.59215,11.929084999999999,15.752439171702926,14.007741069740554,19.470479370988908,7.984773557287878
97,5,20480,28672,source_train,normal,0.0,NA,0,1797,48000,0.011593636980464339,0.07394427206327793,0.07484763048622751,0.45791076123714447,-0.10547152080315936,2.6923609272272953,3.1829834190044792,3.921099029565362,4148.4375,3435.9067313582646,2020.5305321192923,29.95,162.17925,107.37075,70.59215,11.929084999999999,7.760515900668288,9.060857903392492,19.31776212063089,10.8408025397269
97,6,24576,32768,source_train,normal,0.0,NA,0,1797,48000,0.010005083829206285,0.0729226317068361,0.07360578725535312,0.518200621008873,-0.12372335280998918,2.7171199018203933,3.8942256488277933,4.792005800874339,4148.4375,3497.575877386523,1986.144854289538,29.95,162.17925,107.37075,70.59215,11.929084999999999,3.165434999627057,15.551071852916879,11.68655392478915,16.21217764435718
97,7,28672,36864,source_train,normal,0.0,NA,0,1797,48000,0.010347037861521358,0.0713291061491945,0.07207567257092237,0.518200621008873,-0.08181346301407613,2.770282185595772,3.976897258224084,4.914015592831802,4148.4375,3604.0018999631507,1969.6737662342491,29.95,162.17925,107.37075,70.59215,11.929084999999999,4.589222711710846,17.271461954066325,9.98512098215208,4.463965801394898
97,8,32768,40960,source_train,normal,0.0,NA,0,1797,48000,0.01227563513803176,0.07137168058631543,0.072419665890952,0.4679243117570877,-0.046542567959108765,2.7482618056227643,3.3156230444562285,4.114454367840216,4148.4375,3480.2642860306987,2035.2942790239238,29.95,162.17925,107.37075,70.59215,11.929084999999999,10.164481639415154,19.909023089804027,6.64721092216906,9.18123030246597
97,9,36864,45056,source_train,normal,0.0,NA,0,1797,48000,0.013234089380873115,0.07191703506332205,0.07312455848782973,0.49274955689907074,-0.013345220612504288,2.8279003776365452,3.4548344499236308,4.304559870610391,4148.4375,3405.9071413751612,2058.019325124075,29.95,162.17925,107.37075,70.59215,11.929084999999999,6.112521588397631,5.520828293465568,6.947769842723585,10.103769962228863
97,10,40960,49152,source_train,normal,0.0,NA,0,1797,48000,0.01310543645342932,0.07328818669141779,0.07445072714991426,0.47543445229530334,0.007701515375403693,2.8471322324988133,3.407304468224374,4.239097218459524,4148.4375,3485.743740533661,2008.3527235576328,29.95,162.17925,107.37075,70.59215,11.929084999999999,14.564793620903583,25.606255652284855,6.164688034503294,2.822679441550299
97,11,45056,53248,source_train,normal,0.0,NA,0,1797,48000,0.013197800749409794,0.07290983038113771,0.07409470501208162,0.5319692194461823,0.011631829539021508,2.890827191966337,4.200760954027049,5.222835340183947,4148.4375,3498.86162215476,1987.634033126786,29.95,162.17925,107.37075,70.59215,11.929084999999999,10.94036874340463,26.724910644160193,7.432836694514646,5.436526611679852
97,12,49152,57344,source_train,normal,0.0,NA,0,1797,48000,0.013347717573566342,0.07107191818159275,0.07231444612547831,0.5317606031894684,0.019028233110629872,2.851035132250834,4.304176556573827,5.34575216322293,4148.4375,3559.540742416237,1954.9797183724113,29.95,162.17925,107.37075,70.59215,11.929084999999999,12.260015087461229,12.973699158496533,5.95088057783435,8.637675337615041
97,13,53248,61440,source_train,normal,0.0,NA,0,1797,48000,0.012991477240511529,0.07096847822245958,0.07214778847686495,0.5359329283237457,0.0362286545311561,2.881067267263939,3.761842507251915,4.696235616544536,4148.4375,3567.3066206108315,1938.6296469375472,29.95,162.17925,107.37075,70.59215,11.929084999999999,13.004623223110137,17.894858112938003,13.224404639632862,2.6830460237677567
97,14,57344,65536,source_train,normal,0.0,NA,0,1797,48000,0.0124384885719806,0.07123455250535722,0.07231236041365117,0.5359329283237457,0.03759390810951274,2.912912021994604,3.753281125715456,4.705385419827129,4148.4375,3601.597106002543,1916.2452376802742,29.95,162.17925,107.37075,70.59215,11.929084999999999,11.820317463053604,9.185240219454387,11.580354470901705,4.590856855087787
97,15,61440,69632,source_train,normal,0.0,NA,0,1797,48000,0.011775309660350786,0.07131188117065286,0.07227753671573531,0.45916247367858887,-0.0041385607820238245,2.7703681300321565,3.2240084646268983,4.0174917624411774,4148.4375,3646.792563866744,1902.215024637424,29.95,162.17925,107.37075,70.59215,11.929084999999999,6.248519927382862,15.0114773122068,18.473339683155892,8.822315811266808
97,16,65536,73728,source_train,normal,0.0,NA,0,1797,48000,0.012041324837227307,0.07154351665947987,0.07254976416116665,0.4672984629869461,-0.017963241202815155,2.8053708946433593,3.2665452037012304,4.069088975477563,4148.4375,3518.941090495876,1973.6990779150228,29.95,162.17925,107.37075,70.59215,11.929084999999999,12.549197936588994,6.944952109306044,13.853174148029805,10.914138139791767
97,17,69632,77824,source_train,normal,0.0,NA,0,1797,48000,0.012513179601825186,0.07143755313689312,0.07252519329125542,0.4672984629869461,-0.013208237732219782,2.8163452215141125,3.2676518792386116,4.065109229744552,4148.4375,3530.791697890871,1992.5871124431674,29.95,162.17925,107.37075,70.59215,11.929084999999999,6.8873234893034665,25.65147490161677,6.245698271915774,7.536564496095991
97,18,73728,81920,source_train,normal,0.0,NA,0,1797,48000,0.011969715128799407,0.0710218158223649,0.07202341565748274,0.49212369322776794,-0.04182554488919039,2.7987556436547982,3.417862822736954,4.247946916316902,4148.4375,3601.7173551708997,1976.3773921963502,29.95,162.17925,107.37075,70.59215,11.929084999999999,10.278534260579887,13.459564112803179,6.797329346773421,10.78655229421512
97,19,77824,86016,source_train,normal,0.0,NA,0,1797,48000,0.012435203505084758,0.07069127493317849,0.07177667196165549,0.49212369322776794,-0.052673645124674054,2.7309735896186456,3.4296122683669106,4.252190540639491,4148.4375,3550.2184283120064,1985.9620459473017,29.95,162.17925,107.37075,70.59215,11.929084999999999,10.816606862983255,26.625616257973732,2.054992592600701,7.29871522528995
97,20,81920,90112,source_train,normal,0.0,NA,0,1797,48000,0.013565169577113068,0.07183566864351616,0.0731052468371244,0.45853662490844727,-0.02913778864872328,2.6142494095497004,3.18465204605492,3.9217509910151955,4148.4375,3476.150663861305,1998.6418513519047,29.95,162.17925,107.37075,70.59215,11.929084999999999,3.702793021390797,14.39193217947261,19.324899454971316,0.9417379078914173
97,21,86016,94208,source_train,normal,0.0,NA,0,1797,48000,0.0130198461023312,0.07247790508132915,0.07363805481886758,0.4704276919364929,-0.01908736734499642,2.6305196136754287,3.5695589925631137,4.396498893542262,4148.4375,3497.012311805158,1982.757239040227,29.95,162.17925,107.37075,70.59215,11.929084999999999,12.16340397227374,8.964960533414281,13.169885892489225,6.79995385407601
97,22,90112,98304,source_train,normal,0.0,NA,0,1797,48000,0.012627724561632192,0.07326610078522536,0.07434635802697566,0.47918953001499176,-0.009344300165764933,2.6707640635819594,3.535551542123563,4.369630722505579,4148.4375,3429.676706641926,1984.1985311984722,29.95,162.17925,107.37075,70.59215,11.929084999999999,14.843105744594263,20.186783462254457,17.85540301488119,9.067379153719974
97,23,94208,102400,source_train,normal,0.0,NA,0,1797,48000,0.013455972457357745,0.07233135499996943,0.07357233250961105,0.48044122755527496,-0.028958202943269118,2.706484081110166,3.589760842220493,4.440524762991386,4148.4375,3487.5310866699406,1990.4059568218004,29.95,162.17925,107.37075,70.59215,11.929084999999999,11.6279547480295,11.189070752962268,4.431114871133243,10.887451478729316
97,24,98304,106496,source_train,normal,0.0,NA,0,1797,48000,0.013484595925760345,0.0698695456699458,0.07115889079662269,0.4768947660923004,-0.04893583976628435,2.6802326165472414,3.7115120170811102,4.573317455449977,4148.4375,3586.611712854006,1967.8674879527553,29.95,162.17925,107.37075,70.59215,11.929084999999999,6.952365569301924,9.011950186754627,23.80868883556975,10.986157855010045
97,25,102400,110592,source_train,normal,0.0,NA,0,1797,48000,0.012212836597782939,0.07002047583551056,0.07107756617945964,0.45040060579776764,-0.0112877688628859,2.6438769815919394,3.343008642408487,4.116061649936094,4148.4375,3563.3633206131562,1981.0937203682647,29.95,162.17925,107.37075,70.59215,11.929084999999999,13.22974168078272,17.097285965786845,23.072715963356362,9.30415393328414
97,26,106496,114688,source_train,normal,0.0,NA,0,1797,48000,0.011868132292754296,0.0700717645434991,0.07106971753396726,0.43809230625629425,-0.008539465375284964,2.7305434615933604,3.343377830448381,4.134101521085779,4148.4375,3512.866521340718,1995.9670487212582,29.95,162.17925,107.37075,70.59215,11.929084999999999,5.474193698651733,17.653345352544385,11.98295038753128,2.142449863151458
97,27,110592,118784,source_train,normal,0.0,NA,0,1797,48000,0.01206936262346403,0.07088960277374794,0.07190970237427242,0.4839876890182495,-0.005829078430007937,2.8568046617525944,3.458080435757917,4.295920630007177,4148.4375,3502.7337111981283,1992.6587073605776,29.95,162.17925,107.37075,70.59215,11.929084999999999,11.14480683043121,8.349849744376984,11.97639860341852,7.546608335253991
